bOF_1,aOF_1,bOF_2,aOF_2,bOF_3,aOF_3,bOF_4,aOF_4,bOF_5,aOF_5,bOF_6,aOF_6,bOF_7,aOF_7,bOF_8,aOF_8,bOF_9,aOF_9,bOF_10,aOF_10,LABEL_TICK1,time
-0.14189832,0.00150994,-0.37324781,0.03207269,-0.05705572,0.0209958,-0.02538034,0.04298704,-0.01045067,0.01045054,-0.01045067,0.01045054,-0.04298704,0.01045054,-0.090301,0.00146417,-0.25742431,0.04478188,-0.26399747,0.07463641,0.0,2024-05-17 19:46:02
0.17709846999999998,0.02314776,-0.01045018,0.0,0.01045018,0.0,0.01045018,0.0,0.05705572,-0.01045018,0.37326481,-0.04478323,0.07229971,-0.07463858,-0.01492977,0.01045018,0.04298704,0.01045018,0.25742431,0.1257504,0.0,2024-05-17 19:46:05
-0.012149299999999974,0.006678220000000002,-0.05705572,0.006317089999999997,-0.37326481,0.0,-0.01045063,0.0,-0.01045063,0.01045059,-0.01045063,0.01045059,0.01492979,0.01045059,0.07229971,0.04478364,0.04298704,0.07463935,0.0,0.12575041,0.0,2024-05-17 19:46:08
-0.0002985999999999822,-0.0075716700000000026,0.0,-0.02250071,0.37326138,-0.00146417,-0.07229971,-0.03579223,-0.05791681,0.04298704,-0.25742431,-0.01045035,-0.09402294,-0.01045035,-0.090303,-0.01045035,-0.09495212,-0.12575041,-0.26400287,-0.1947269,0.0,2024-05-17 19:46:11
0.0029144099999999784,-0.00404239,0.01045035,0.0,0.05705572,-0.03579223,0.01045035,-0.04298704,0.01045035,-0.01045035,0.37326138,-0.01045035,0.01492975,-0.01045035,0.07229971,-0.04478335,0.04298704,0.07463878,0.05033584,0.12575041,0.0,2024-05-17 19:46:15
0.0,-9.587000000000137e-05,-0.05705572,0.0,-0.37326138,0.0,-0.01045059,0.0,-0.01045059,0.01045059,-0.01492973,0.01045059,0.01045059,0.01045059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-17 19:46:18
-1.196999999997228e-05,-0.00177099,0.0,0.0,0.0,0.02579229,-0.01045074,0.04298704,-0.07229971,0.1791559,-0.02538047,0.29859303,-0.01045074,0.01045059,-0.04298704,0.01045059,-0.05033584,0.01045059,-0.25742431,0.29859303,0.0,2024-05-17 19:46:21
-0.003836380000000028,-0.00284858,0.0104502,0.0,0.0104502,0.0,0.0104502,0.0,0.05705572,-0.0104504,0.37326138,-0.0104504,0.07229971,-0.0104504,0.01492973,-0.04478314,0.04298704,-0.0746385,0.05033584,-0.12575041,0.0,2024-05-17 19:46:24
0.00014930000000001886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01045018,0.0,-0.04478314,0.0,-0.0746385,0.0,-0.01045018,0.0,-0.01045018,0.0,0.0,0.0,2024-05-17 19:46:24
-0.00011948000000000514,-0.002744,0.01045014,0.00164797,0.01045014,0.02250071,0.01045015,-0.01,0.0,0.36153718,0.0,0.29859303,0.0,0.04298704,0.04298704,0.29859303,-0.27301656,0.29859303,0.21612874,0.01045024,0.0,2024-05-17 19:46:27
