time,low,high,open,close,volume,sentiment
2024-05-17 01:55:00+00:00,161.01,161.24,161.24,161.1,143.61359823,0
2024-05-17 01:54:00+00:00,161.15,161.29,161.29,161.23,233.76418416,0
2024-05-17 01:53:00+00:00,161.3,161.58,161.5,161.3,75.46288148,0
2024-05-17 01:52:00+00:00,161.35,161.5,161.49,161.45,712.61881954,0
2024-05-17 01:51:00+00:00,161.48,161.69,161.5,161.51,1871.35531581,0
2024-05-17 01:50:00+00:00,161.22,161.51,161.45,161.51,1831.71134923,0
2024-05-17 01:49:00+00:00,161.4,161.58,161.58,161.49,1277.4652547,0
2024-05-17 01:48:00+00:00,161.62,161.76,161.7,161.62,154.6480792,0
2024-05-17 01:47:00+00:00,161.55,161.73,161.7,161.72,477.21573193,0
2024-05-17 01:46:00+00:00,161.66,161.76,161.7,161.74,176.1412614,0
2024-05-17 01:45:00+00:00,161.73,162.0,161.8,161.75,1038.37706339,0
2024-05-17 01:44:00+00:00,161.76,161.93,161.87,161.81,148.30943268,0
2024-05-17 01:43:00+00:00,161.72,161.98,161.8,161.9,103.77894837,0
2024-05-17 01:42:00+00:00,161.75,162.05,161.97,161.8,242.07050975,0
2024-05-17 01:41:00+00:00,161.86,162.14,162.13,162.03,647.35270939,0
2024-05-17 01:40:00+00:00,161.77,162.12,161.96,162.08,2177.45602229,0
2024-05-17 01:39:00+00:00,161.57,161.99,161.57,161.99,449.34865608,0
2024-05-17 01:38:00+00:00,161.44,161.66,161.5,161.55,59.46214877,0
2024-05-17 01:37:00+00:00,161.51,161.7,161.53,161.51,283.49705494,0
2024-05-17 01:36:00+00:00,161.28,161.54,161.34,161.52,73.94781964,0
2024-05-17 01:35:00+00:00,161.06,161.37,161.06,161.34,136.96054006,0
2024-05-17 01:34:00+00:00,160.9,161.19,160.9,161.07,403.77481123,0
2024-05-17 01:33:00+00:00,160.86,161.11,161.11,160.87,192.38439774,0
2024-05-17 01:32:00+00:00,160.83,161.18,160.97,161.11,1147.68208595,0
2024-05-17 01:31:00+00:00,160.77,161.24,161.01,160.97,247.04741117,0
2024-05-17 01:30:00+00:00,160.5,161.01,160.5,161.01,839.35088512,0
2024-05-17 01:29:00+00:00,160.41,160.5,160.41,160.5,103.53092804,0
2024-05-17 01:28:00+00:00,160.37,160.48,160.45,160.46,794.1187569,0
2024-05-17 01:27:00+00:00,159.98,160.47,159.98,160.41,478.02270133,0
2024-05-17 01:26:00+00:00,159.9,160.08,159.94,160.02,615.08135527,0
2024-05-17 01:25:00+00:00,159.87,160.15,160.14,159.88,511.80480287,0
2024-05-17 01:24:00+00:00,160.13,160.31,160.24,160.17,93.73623975,0
2024-05-17 01:23:00+00:00,160.25,160.48,160.3,160.3,646.82616316,0
2024-05-17 01:22:00+00:00,160.3,160.5,160.5,160.3,515.78221792,0
