time,low,high,open,close,volume
2024-05-17 11:28:00,66267.65,66285.36,66267.66,66282.25,3.64598939
2024-05-17 11:27:00,66254.15,66324.84,66324.84,66265.78,30.60981822
2024-05-17 11:26:00,66323.3,66352.2,66352.2,66328.28,1.14557307
2024-05-17 11:25:00,66311.97,66352.21,66337.09,66352.19,3.3178909
2024-05-17 11:24:00,66306.91,66337.01,66306.91,66335.27,0.76275824
2024-05-17 11:23:00,66305.24,66317.61,66305.7,66311.44,0.50282404
2024-05-17 11:22:00,66288.75,66321.27,66318.81,66305.7,2.54926428
2024-05-17 11:21:00,66288.89,66322.17,66300.68,66318.81,5.35541228
2024-05-17 11:20:00,66260.89,66311.02,66260.9,66302.76,5.32217566
2024-05-17 11:19:00,66248.84,66268.07,66267.97,66260.9,0.81115968
2024-05-17 11:18:00,66248.84,66270.7,66257.62,66267.96,0.91083236
2024-05-17 11:17:00,66248.83,66277.27,66271.48,66257.63,2.66668505
2024-05-17 11:16:00,66220.33,66272.22,66220.9,66271.48,0.78837227
2024-05-17 11:15:00,66200.43,66247.0,66242.76,66222.08,2.973151
2024-05-17 11:14:00,66206.48,66254.83,66218.08,66242.75,6.10337964
2024-05-17 11:13:00,66218.59,66254.84,66254.84,66220.44,1.11277153
2024-05-17 11:12:00,66249.82,66289.79,66284.0,66254.84,7.76097364
2024-05-17 11:11:00,66251.12,66294.96,66251.12,66283.99,2.69865174
2024-05-17 11:10:00,66220.21,66266.07,66266.07,66251.12,1.10312436
2024-05-17 11:09:00,66220.21,66267.81,66236.39,66266.08,3.28284352
2024-05-17 11:08:00,66228.28,66336.54,66335.12,66236.11,12.75277338
2024-05-17 11:07:00,66310.9,66339.02,66310.9,66335.12,1.80357186
2024-05-17 11:06:00,66271.15,66335.04,66335.04,66311.67,6.50647236
2024-05-17 11:05:00,66329.38,66399.17,66372.53,66329.38,8.22714099
2024-05-17 11:04:00,66343.98,66410.04,66410.04,66372.52,1.98155055
2024-05-17 11:03:00,66375.82,66419.28,66375.82,66413.06,1.60667034
2024-05-17 11:02:00,66327.41,66405.55,66393.9,66375.81,7.07008853
2024-05-17 11:01:00,66393.89,66574.79,66519.91,66393.89,12.01732056
2024-05-17 11:00:00,66472.23,66520.4,66499.03,66518.86,3.46194816
2024-05-17 10:59:00,66465.48,66529.59,66465.48,66499.03,19.7620026
2024-05-17 10:58:00,66444.36,66465.49,66449.94,66462.46,1.04504268
2024-05-17 10:57:00,66441.0,66461.73,66456.28,66449.95,1.67441684
2024-05-17 10:56:00,66440.36,66469.34,66440.99,66461.8,3.12268418
2024-05-17 10:55:00,66436.27,66450.45,66450.45,66441.0,0.16550815
2024-05-17 10:54:00,66443.79,66454.51,66454.42,66451.72,3.5084284
2024-05-17 10:53:00,66412.79,66457.68,66439.73,66457.68,11.67632381
2024-05-17 10:52:00,66434.25,66452.72,66452.72,66439.73,1.89275201
2024-05-17 10:51:00,66435.09,66456.02,66447.3,66452.71,3.00878483
2024-05-17 10:50:00,66424.7,66457.48,66438.68,66438.53,4.43101271
2024-05-17 10:49:00,66417.52,66448.79,66434.98,66441.42,2.42540592
2024-05-17 10:48:00,66423.66,66441.88,66437.01,66434.98,0.66663098
2024-05-17 10:47:00,66418.37,66460.26,66422.05,66437.02,3.27627794
2024-05-17 10:46:00,66378.25,66423.14,66396.08,66423.14,1.81121911
2024-05-17 10:45:00,66387.84,66401.09,66390.56,66396.65,0.92584522
2024-05-17 10:44:00,66378.25,66408.46,66393.01,66387.97,4.10534826
2024-05-17 10:43:00,66380.35,66398.21,66383.91,66390.26,1.64314759
2024-05-17 10:42:00,66324.38,66384.05,66338.08,66383.92,1.68016211
2024-05-17 10:41:00,66331.13,66351.29,66349.03,66338.08,1.11115356
2024-05-17 10:40:00,66340.46,66354.52,66352.9,66349.9,0.48183917
2024-05-17 10:39:00,66337.43,66364.96,66351.91,66352.9,1.55014299
2024-05-17 10:38:00,66340.39,66385.94,66378.67,66351.91,1.06546868
2024-05-17 10:37:00,66358.23,66393.65,66381.88,66379.45,1.73645377
2024-05-17 10:36:00,66358.52,66389.54,66372.97,66381.88,2.5843953
2024-05-17 10:35:00,66348.25,66373.21,66355.97,66372.24,0.65488139
2024-05-17 10:34:00,66332.02,66414.51,66404.64,66355.96,9.81526836
2024-05-17 10:33:00,66364.71,66404.65,66367.82,66404.65,2.4893449
2024-05-17 10:32:00,66365.17,66385.94,66378.68,66365.17,1.60749442
2024-05-17 10:31:00,66375.89,66428.01,66428.01,66378.69,4.48753239
2024-05-17 10:30:00,66424.26,66458.67,66431.32,66424.27,5.68253306
2024-05-17 10:29:00,66372.72,66432.25,66379.17,66431.32,12.30135208
2024-05-17 10:28:00,66355.17,66381.7,66357.63,66381.7,3.47989853
2024-05-17 10:27:00,66330.26,66361.78,66330.26,66357.64,3.9877122
2024-05-17 10:26:00,66321.99,66347.9,66321.99,66330.25,3.8445035
2024-05-17 10:25:00,66312.95,66326.41,66326.41,66321.98,1.48367117
2024-05-17 10:24:00,66315.42,66353.68,66353.45,66326.41,1.90490556
2024-05-17 10:23:00,66336.04,66369.36,66340.26,66351.62,1.3684362
2024-05-17 10:22:00,66285.96,66364.72,66293.99,66340.27,13.44635916
2024-05-17 10:21:00,66253.38,66294.96,66253.38,66293.98,0.72002524
2024-05-17 10:20:00,66249.99,66274.66,66259.97,66253.37,0.95915241
2024-05-17 10:19:00,66258.14,66286.6,66286.59,66259.97,1.53966806
2024-05-17 10:18:00,66288.74,66331.36,66301.94,66288.74,2.83896615
2024-05-17 10:17:00,66300.0,66310.78,66310.77,66300.09,0.29855097
2024-05-17 10:16:00,66284.19,66310.61,66285.08,66310.61,0.71189271
2024-05-17 10:15:00,66271.92,66291.35,66275.66,66285.08,0.85173348
2024-05-17 10:14:00,66237.74,66280.3,66237.75,66272.06,0.80487691
2024-05-17 10:13:00,66206.83,66237.74,66221.03,66237.74,0.84113128
2024-05-17 10:12:00,66210.18,66226.23,66210.66,66221.02,0.65090528
2024-05-17 10:11:00,66183.89,66222.46,66197.89,66207.62,1.57618664
2024-05-17 10:10:00,66192.35,66257.3,66257.3,66193.35,1.09575113
2024-05-17 10:09:00,66257.3,66297.22,66263.88,66257.3,1.70076713
2024-05-17 10:08:00,66234.15,66267.15,66241.34,66263.88,2.01474133
2024-05-17 10:07:00,66239.19,66282.07,66276.92,66241.34,8.34631396
2024-05-17 10:06:00,66276.07,66323.8,66323.79,66276.92,3.01715539
2024-05-17 10:05:00,66321.54,66326.34,66326.34,66323.8,0.2004615
2024-05-17 10:04:00,66321.54,66333.63,66324.27,66326.33,1.13627139
2024-05-17 10:03:00,66301.69,66331.15,66302.1,66325.56,2.42793791
2024-05-17 10:02:00,66300.81,66329.85,66319.68,66301.68,0.40512384
2024-05-17 10:01:00,66312.99,66367.18,66350.0,66322.36,3.16104624
2024-05-17 20:00:00,66953.85,67100.56,67100.56,66965.04,44.29652948
2024-05-17 19:59:00,66913.28,67126.3,66913.28,67099.6,72.77511171
2024-05-17 19:58:00,66883.86,66928.28,66883.87,66913.28,10.82082049
2024-05-17 19:57:00,66883.86,66947.96,66935.93,66883.86,17.33939762
2024-05-17 19:56:00,66935.93,66951.36,66935.93,66935.94,6.30321275
2024-05-17 19:55:00,66935.93,66965.02,66963.61,66935.93,3.65765526
2024-05-17 19:54:00,66943.21,66982.08,66972.08,66967.52,10.73017483
2024-05-17 19:53:00,66934.01,66978.26,66957.98,66972.08,9.99669716
2024-05-17 19:52:00,66938.29,66990.38,66942.31,66957.97,15.56200862
2024-05-17 19:51:00,66927.92,67014.86,67008.73,66942.31,15.02135203
2024-05-17 19:50:00,67004.01,67041.24,67031.72,67008.72,5.23309229
2024-05-17 19:49:00,67017.27,67045.7,67017.27,67031.72,9.0146104
2024-05-17 19:48:00,67004.35,67027.91,67014.47,67015.21,6.55849344
2024-05-17 19:47:00,67014.47,67073.88,67046.85,67014.47,10.86460314
2024-05-17 19:46:00,67029.38,67071.67,67042.15,67046.84,7.9096892
2024-05-17 19:45:00,67039.2,67087.69,67044.5,67042.14,9.17647706
2024-05-17 19:44:00,67030.73,67050.29,67040.23,67044.51,6.49421491
2024-05-17 19:43:00,66950.0,67044.14,66969.4,67040.23,5.52473879
2024-05-17 19:42:00,66972.48,67073.05,67070.07,66975.25,14.85449989
2024-05-17 19:41:00,67034.76,67077.31,67051.38,67070.07,15.99384115
2024-05-17 19:40:00,67008.5,67051.44,67020.52,67051.44,10.60176394
2024-05-17 19:39:00,67020.51,67060.0,67031.94,67020.52,6.82336915
2024-05-17 19:38:00,67004.7,67039.42,67009.65,67024.63,9.75247118
2024-05-17 19:37:00,66974.23,67028.52,66974.23,67010.53,26.27197139
2024-05-17 19:36:00,66948.21,66994.17,66948.21,66974.23,10.86588187
2024-05-17 19:35:00,66929.17,66955.79,66938.32,66948.21,8.0013788
2024-05-17 19:34:00,66911.84,66957.57,66911.84,66943.32,5.7804464
2024-05-17 19:33:00,66909.46,66949.05,66945.11,66911.5,9.13201928
2024-05-17 19:32:00,66912.01,66956.3,66912.14,66945.11,10.87163323
2024-05-17 19:31:00,66850.01,66915.69,66867.52,66912.14,21.71163111
2024-05-17 19:30:00,66864.24,66928.07,66923.4,66867.52,13.87424163
2024-05-17 19:29:00,66888.35,66927.01,66901.53,66923.39,15.23414914
2024-05-17 19:28:00,66876.9,66902.65,66877.95,66901.52,14.75966962
2024-05-17 19:27:00,66870.21,66929.88,66917.72,66876.12,15.74160944
2024-05-17 19:26:00,66876.05,66930.12,66883.16,66917.71,23.80088347
2024-05-17 19:25:00,66775.42,66890.21,66775.42,66883.16,26.30669607
2024-05-17 19:24:00,66750.95,66775.41,66752.47,66775.41,11.61500907
2024-05-17 19:23:00,66727.38,66772.48,66755.45,66752.46,21.39525145
2024-05-17 19:22:00,66706.43,66760.83,66709.97,66754.78,13.88459446
2024-05-17 19:21:00,66699.24,66727.43,66726.13,66709.98,19.81154362
2024-05-17 19:20:00,66711.74,66738.46,66733.87,66726.13,17.1226876
2024-05-17 19:19:00,66705.24,66734.05,66705.25,66730.8,10.69418565
2024-05-17 19:18:00,66699.16,66763.44,66753.7,66705.24,22.17760333
2024-05-17 19:17:00,66747.68,66768.83,66750.13,66753.7,14.58702834
2024-05-17 19:16:00,66740.56,66774.47,66763.3,66749.77,24.29817646
2024-05-17 19:15:00,66726.89,66771.57,66738.06,66763.29,16.27402687
2024-05-17 19:14:00,66729.15,66747.79,66729.15,66738.06,10.67420163
2024-05-17 19:13:00,66726.89,66749.37,66734.21,66729.16,15.4515375
2024-05-17 19:12:00,66687.68,66741.99,66705.74,66734.21,22.05284584
2024-05-17 19:11:00,66674.4,66728.95,66678.68,66705.74,23.28160975
2024-05-17 19:10:00,66658.63,66693.79,66672.02,66678.69,13.66800295
2024-05-17 19:09:00,66672.01,66750.0,66741.26,66672.03,17.79679279
2024-05-17 19:08:00,66732.51,66768.86,66735.89,66741.26,14.20622447
2024-05-17 19:07:00,66735.89,66775.28,66759.04,66735.89,18.44136958
2024-05-17 19:06:00,66691.07,66761.76,66701.54,66759.04,15.40536321
2024-05-17 19:05:00,66681.99,66739.02,66739.02,66703.61,15.73553601
2024-05-17 19:04:00,66734.35,66761.26,66754.84,66739.02,16.99148179
2024-05-17 19:03:00,66746.56,66768.3,66762.02,66754.85,9.40911777
2024-05-17 19:02:00,66750.0,66793.72,66792.25,66762.16,14.97174313
2024-05-17 19:01:00,66786.0,66854.52,66851.77,66792.25,19.63669435
2024-05-17 19:00:00,66803.15,66862.16,66853.07,66851.77,57.83769362
2024-05-17 18:59:00,66814.57,66860.68,66855.09,66853.06,16.14660037
2024-05-17 18:58:00,66823.13,66872.09,66855.3,66855.1,17.5456022
2024-05-17 18:57:00,66780.01,66894.54,66780.01,66855.3,57.55818196
2024-05-17 18:56:00,66780.0,66821.29,66807.37,66780.01,19.2596309
2024-05-17 18:55:00,66724.94,66810.11,66731.22,66807.38,23.72249349
2024-05-17 18:54:00,66700.01,66743.1,66705.89,66731.23,11.83033477
2024-05-17 18:53:00,66691.89,66707.98,66705.96,66705.9,8.21752873
2024-05-17 18:52:00,66683.94,66705.96,66697.0,66705.96,5.75063982
2024-05-17 18:51:00,66641.91,66699.99,66669.45,66699.03,20.87560696
2024-05-17 18:50:00,66652.01,66677.45,66654.62,66669.45,9.58482094
2024-05-17 18:49:00,66625.32,66663.28,66625.32,66654.63,11.86089012
2024-05-17 18:48:00,66621.87,66643.52,66643.52,66625.32,4.29427786
2024-05-17 18:47:00,66587.84,66647.07,66594.07,66643.52,3.77921851
