bOF_1,aOF_1,bOF_2,aOF_2,bOF_3,aOF_3,bOF_4,aOF_4,bOF_5,aOF_5,bOF_6,aOF_6,bOF_7,aOF_7,bOF_8,aOF_8,bOF_9,aOF_9,bOF_10,aOF_10,LABEL_TICK1,time
-0.80856169,-0.11624334,0.09702714,-0.07544982,0.7605073,0.09702714,0.00923981,0.01630003,0.00016171,0.23286536,0.09702704,0.36353714,0.17,0.391,6.4684099,1.07684493,0.85322938,0.80847076,0.85322938,0.16171012,0.0,2024-05-17 19:44:46
-1.57020042,0.006302160000000001,-0.00923981,0.0,-0.00016171,1.0999999999761201e-07,-0.1940545,0.0,-0.17,0.7032121299999999,-3.23444339,0.0,-0.16171012,0.391,-0.36353714,0.80848283,-0.85322938,-0.5,-0.85322938,0.0,0.0,2024-05-17 19:44:48
0.09702716,-0.00735363,0.8085727,-0.11324994999999999,0.00923981,-8.999999999426134e-08,0.00016171,0.0,0.09702732,0.36353714,0.17,0.23286539,3.23444339,0.48508974,0.16171012,0.391,0.0,0.80848283,0.0,0.5,0.0,2024-05-17 19:44:52
-0.00642919,0.39116962,-0.00016171,0.62889726,-0.19406282,0.13755642,-0.8086174,0.12986523,-3.23461165,0.02714067,-0.1617214,0.2998681,-0.96684971,0.23287537,-0.96684971,0.36353714,-0.36353714,0.01630003,-0.00048507,0.48510982,0.0,2024-05-17 19:44:54
0.5486001500000001,-0.19081628,0.0,0.09702895,0.09702895,0.74533196,0.09702896,0.23458537,0.8086174,0.12986523,0.17,0.02714067,3.23461165,0.2998681,0.96723461,0.391,1.33077175,0.36353714,0.16172613,0.16172563,0.0,2024-05-17 19:44:57
-0.047840920000000065,-0.009102119999999991,0.0,-0.84236091,-0.09702895,-0.13755642,-0.80863295,-0.12986523,-0.17,-0.02714067,-3.23461165,-0.09702908,-0.96723461,0.0,-1.33077175,0.0,-0.16172613,0.0,-0.00048507,0.0,-1.0,2024-05-17 19:45:00
-0.32270866,0.36353714,-0.99765476,2.35522665,-0.99765476,5.21858326,-0.5,1.2456008,-2.25174697,1.06220028,-16.17664752,1.15866407,-0.32198032,1.19890879,-1.0,0.64964784,-0.56153,0.2998681,-0.97030739,-0.01630003,0.0,2024-05-17 19:45:04
1.33104452,0.19409718,1.01885962,0.36353714,1.63721464,1.32985423,1.52240517,0.23291662,1.55442258,1.29324412,0.57945835,0.8086899,0.00027821,1.97650498,0.80878334,3.39636972,0.1688534,0.5,0.96288914,0.55302,-1.0,2024-05-17 19:45:07
-4.529e-05,0.19410346,-0.19410346,0.40662764,-0.80879756,0.02945336,-0.17,0.07401569,-3.23531539,0.03560836,-0.99765476,0.391,-0.99765476,1.26121873,-0.16175428,1.29324412,-0.36353714,0.23291899,-7.66053948,0.8086883,-1.0,2024-05-17 19:45:10
-0.80879484,0.19410988,-3.23531036,0.03141983,-0.19411134,0.02062775,-0.52528781,0.04372762,-7.66053948,0.01830556,-1.91526691,0.20681263,-16.17817976,0.05152458,-0.99765476,0.23292902,-0.99765476,0.06072076,-1.26349786,0.09560548,1.0,2024-05-17 19:45:12
